Food,Alias,Language
Whole Duck Egg,Duck,1
Whole Duck Egg,Egg,1
Whole Duck Egg,بيض بط,2
Bream,دنيس,2
Golden Bream,Golden,1
Golden Bream,Bream,1
Golden Bream,دنيس ذهبي,2
Catfish (Bayad),Catfish,1
Catfish (Bayad),Bayad,1
Catfish (Bayad),بياض,2
River Catfish,River,1
River Catfish,Catfish,1
River Catfish,قرموط نهري,2
Scaled Catfish,Scaled,1
Scaled Catfish,Catfish,1
Scaled Catfish,قرموط بقشر,2
Salted Catfish,Catfish,1
Salted Catfish,قرموط مملح,2
Salted Catfish,فسيخ قرموط,2
Crab,كابوريا,2
Crab,سرطان بحر,2
Eel Fish,Eel,1
Eel Fish,Fish,1
Eel Fish,ثعبان البحر,2
Eel Fish,أنقليس,2
Fried Fish Finger,Fish,1
Fried Fish Finger,Finger,1
Fried Fish Finger,أصابع سمك مقلية,2
Smoked Herring,Smoked,1
Smoked Herring,Herring,1
Smoked Herring,رنجة مدخنة,2
Lizard Fish,Lizard,1
Lizard Fish,Fish,1
Lizard Fish,أبو شوكة,2
Fried Lizard Fish,Lizard,1
Fried Lizard Fish,Fish,1
Fried Lizard Fish,أبو شوكة مقلي,2
Canned Mackerel,Mackerel,1
Canned Mackerel,ماكريل معلب,2
Mullet,بوري,2
Grilled Mullet,Mullet,1
Grilled Mullet,بوري مشوي,2
Salted Mullet,Mullet,1
Salted Mullet,بوري مملح,2
Salted Mullet,فسيخ بوري,2
Sardines,سردين,2
Canned Sardines,Sardines,1
Canned Sardines,سردين معلب,2
Grilled Sardine,Sardine,1
Grilled Sardine,سردين مشوي,2
Salted Sardine,Sardine,1
Salted Sardine,سردين مملح,2
Shrimp,جمبري,2
Boiled Shrimp,Shrimp,1
Boiled Shrimp,جمبري مسلوق,2
Sole,سمك موسى,2
Fried Sole,Sole,1
Fried Sole,سمك موسى مقلي,2
Tilapia,بلطي,2
Fried Tilapia,Tilapia,1
Fried Tilapia,بلطي مقلي,2
Grilled Tilapia,Tilapia,1
Grilled Tilapia,بلطي مشوي,2
Canned Tuna,Tuna,1
Canned Tuna,تونة معلبة,2
Butter (Unsalted),Butter,1
Butter (Unsalted),زبدة غير مملحة,2
Butter Oil (Ghee),Butter,1
Butter Oil (Ghee),Oil,1
Butter Oil (Ghee),Ghee,1
Butter Oil (Ghee),سمنة,2
Butter Oil (Ghee),سمن بلدي,2
Camembert Cheese,Camembert,1
Camembert Cheese,Cheese,1
Camembert Cheese,جبنة كممبير,2
Cheddar Cheese,Cheddar,1
Cheddar Cheese,Cheese,1
Cheddar Cheese,جبنة تشيدر,2
Gouda Cheese,Gouda,1
Gouda Cheese,Cheese,1
Gouda Cheese,جبنة جودة,2
Kareesh Cheese,Kareesh,1
Kareesh Cheese,Cheese,1
Kareesh Cheese,جبنة قريش,2
Low Fat Kareesh Cheese,Kareesh,1
Low Fat Kareesh Cheese,Cheese,1
Low Fat Kareesh Cheese,جبنة قريش قليلة الدسم,2
Kareesh Cheese (Mish),Kareesh,1
Kareesh Cheese (Mish),Cheese,1
Kareesh Cheese (Mish),Mish,1
Kareesh Cheese (Mish),مش,2
Mozzarella Cheese,Mozzarella,1
Mozzarella Cheese,Cheese,1
Mozzarella Cheese,جبنة موزاريلا,2
Parmesan Cheese,Parmesan,1
Parmesan Cheese,Cheese,1
Parmesan Cheese,جبنة بارميزان,2
Processed Cheese,Processed,1
Processed Cheese,Cheese,1
Processed Cheese,جبنة مطبوخة,2
Processed Cheese,جبنة مصنعة,2
Cheese Spread,Cheese,1
Cheese Spread,Spread,1
Cheese Spread,جبنة سبريد,2
White Cheese,Cheese,1
White Cheese,جبنة بيضاء,2
"White Cheese, Half Cream",Cheese,1
"White Cheese, Half Cream",Cream,1
"White Cheese, Half Cream",جبنة بيضاء نص دسم,2
Roquefort Cheese,Roquefort,1
Roquefort Cheese,Cheese,1
Roquefort Cheese,جبنة روكفور,2
Whipping Cream,Whipping,1
Whipping Cream,Cream,1
Whipping Cream,كريمة خفق,2
Fermented Milk,Fermented,1
Fermented Milk,Milk,1
Fermented Milk,لبن رايب,2
Fermented Skim Milk,Fermented,1
Fermented Skim Milk,Milk,1
Fermented Skim Milk,لبن رايب خالي الدسم,2
Buffalo Milk,Buffalo,1
Buffalo Milk,Milk,1
Buffalo Milk,لبن جاموسي,2
Cow Milk,Cow,1
Cow Milk,Milk,1
Cow Milk,لبن بقري,2
Human Milk,Human,1
Human Milk,Milk,1
Human Milk,لبن أم,2
Human Milk,حليب أم,2
Chocolate Milk,Chocolate,1
Chocolate Milk,Milk,1
Chocolate Milk,لبن بالشوكولاتة,2
Full Cream Milk,Cream,1
Full Cream Milk,Milk,1
Full Cream Milk,لبن كامل الدسم,2
Fruit Milk,Fruit,1
Fruit Milk,Milk,1
Fruit Milk,لبن بالفواكه,2
Half Cream Milk,Cream,1
Half Cream Milk,Milk,1
Half Cream Milk,لبن نص دسم,2
Low Fat Skimmed Milk,Milk,1
Low Fat Skimmed Milk,لبن خالي الدسم,2
Skim Milk Powder,Milk,1
Skim Milk Powder,لبن بودرة خالي الدسم,2
Whole Milk Powder,Milk,1
Whole Milk Powder,لبن بودرة كامل الدسم,2
Yoghurt,زبادي,2
Low Fat Yoghurt,Yoghurt,1
Low Fat Yoghurt,زبادي قليل الدسم,2
Fruit Yoghurt,Fruit,1
Fruit Yoghurt,Yoghurt,1
Fruit Yoghurt,زبادي بالفواكه,2
Non-Alcoholic Beer,Non,1
Non-Alcoholic Beer,Alcoholic,1
Non-Alcoholic Beer,Beer,1
Non-Alcoholic Beer,بيرة بدون كحول,2
Carbonated Barley Drink,Carbonated,1
Carbonated Barley Drink,Barley,1
Carbonated Barley Drink,Drink,1
Carbonated Barley Drink,مشروب الشعير الغازي,2
Carbonated Soft Drink,Carbonated,1
Carbonated Soft Drink,Soft,1
Carbonated Soft Drink,Drink,1
Carbonated Soft Drink,مشروب غازي,2
Diet Carbonated Soft Drink,Carbonated,1
Diet Carbonated Soft Drink,Soft,1
Diet Carbonated Soft Drink,Drink,1
Diet Carbonated Soft Drink,مشروب غازي دايت,2
Carbonated Tonic Water,Carbonated,1
Carbonated Tonic Water,Tonic,1
Carbonated Tonic Water,Water,1
Carbonated Tonic Water,مياه تونيك غازية,2
Instant Chocolate Drink,Chocolate,1
Instant Chocolate Drink,Drink,1
Instant Chocolate Drink,مشروب شوكولاتة سريع التحضير,2
Instant Coffee Powder Drink,Coffee,1
Instant Coffee Powder Drink,Drink,1
Instant Coffee Powder Drink,قهوة سريعة التحضير,2
Instant Fruit Powder Drink,Fruit,1
Instant Fruit Powder Drink,Drink,1
Instant Fruit Powder Drink,مشروب فواكه سريع التحضير,2
Instant Tea Powder Drink,Tea,1
Instant Tea Powder Drink,Drink,1
Instant Tea Powder Drink,شاي سريع التحضير,2
Apple Juice,Apple,1
Apple Juice,Juice,1
Apple Juice,عصير تفاح,2
Sweetened Apple Juice,Apple,1
Sweetened Apple Juice,Juice,1
Sweetened Apple Juice,عصير تفاح محلى,2
Sweetened Grape Juice,Grape,1
Sweetened Grape Juice,Juice,1
Sweetened Grape Juice,عصير عنب محلى,2
Grapefruit Juice,Grapefruit,1
Grapefruit Juice,Juice,1
Grapefruit Juice,عصير جريب فروت,2
Orange Juice,Juice,1
Orange Juice,عصير برتقال,2
Sweetened Orange Juice,Juice,1
Sweetened Orange Juice,عصير برتقال محلى,2
Peach Juice,Peach,1
Peach Juice,Juice,1
Peach Juice,عصير خوخ,2
Pomegranate Juice,Pomegranate,1
Pomegranate Juice,Juice,1
Pomegranate Juice,عصير رمان,2
Sugarcane Juice,Sugarcane,1
Sugarcane Juice,Juice,1
Sugarcane Juice,عصير قصب,2
Tomato Juice,Tomato,1
Tomato Juice,Juice,1
Tomato Juice,عصير طماطم,2
Apricot Nectar,Apricot,1
Apricot Nectar,Nectar,1
Apricot Nectar,عصير مشمش,2
Fruit Cocktail Nectar,Fruit,1
Fruit Cocktail Nectar,Cocktail,1
Fruit Cocktail Nectar,Nectar,1
Fruit Cocktail Nectar,عصير كوكتيل فواكه,2
Guava Nectar,Guava,1
Guava Nectar,Nectar,1
Guava Nectar,عصير جوافة,2
Mango Nectar,Mango,1
Mango Nectar,Nectar,1
Mango Nectar,عصير مانجو,2
Cardamom,حبهان,2
Cardamom,هيل,2
Cinnamon,قرفة,2
Clove,قرنفل,2
Cumin,كمون,2
Ginger,زنجبيل,2
Nutmeg,جوزة الطيب,2
Black Pepper,Pepper,1
Black Pepper,فلفل أسود,2
Red Pepper,Pepper,1
Red Pepper,فلفل أحمر,2
Red Pepper,شطة,2
Thyme,زعتر,2
Baking Powder,Baking,1
Baking Powder,بيكنج بودر,2
Chicken Stock,Chicken,1
Chicken Stock,مرقة فراخ,2
Chicken Stock,شوربة فراخ,2
Cocoa Powder,Cocoa,1
Cocoa Powder,كاكاو بودرة,2
Dom Powder,Dom,1
Dom Powder,دوم,2
Gelatin,جيلاتين,2
Kishk,كشك,2
Mayonnaise,مايونيز,2
Vegetable Oil,Vegetable,1
Vegetable Oil,Oil,1
Vegetable Oil,زيت نباتي,2
Salad Dressing,Salad,1
Salad Dressing,Dressing,1
Salad Dressing,صوص سلطة,2
Table/Cooking Salt,Salt,1
Table/Cooking Salt,ملح طعام,2
Sodium Reduced Salt,Salt,1
Sodium Reduced Salt,ملح قليل الصوديوم,2
Tamarind,تمر هندي,2
Compressed Yeast,Compressed,1
Compressed Yeast,Yeast,1
Compressed Yeast,خميرة طازجة,2
Dried Yeast,Yeast,1
Dried Yeast,خميرة فورية,2
Dried Yeast,خميرة جافة,2
